"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-02-28,94461,"84101","UT","Salt Lake City","Salt Lake County","Salt Lake City",9053,350900,0.00171281758492721,0.0191693290734824,0.0972482801751094,0.0626169051900594,0.0304359500357332,"2019-02","2019-Q1",350900,0,"2019-02"
2019-02-28,73549,"35620","AL","Huntsville","Limestone County","Elkmont",9054,128800,-0.00386697602474865,0.00546448087431694,0.0999146029035013,0.0413099654132407,0.0144372004256459,"2019-01","2019-Q1",129300,-0.00386697602474865,"2018-12"
2019-02-28,60961,"08071","NJ","Philadelphia-Camden-Wilmington","Gloucester County","Pitman",9055,186300,0.00866269626421224,0.0287134180011044,0.0831395348837209,0.0447159154728631,-0.00597191098467842,"2007-07","2007-Q3",220600,-0.155485040797824,"2005-06"
2019-02-28,96216,"90716","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Hawaiian Gardens",9056,419800,0.000715137067938021,0.00526819923371648,0.0681933842239186,0.0762656522376994,0.0424148529749457,"2006-09","2006-Q3",437300,-0.0400182940772925,"2006-04"
2019-02-28,79026,"48164","MI","Detroit-Warren-Dearborn","Wayne County","Huron",9057,187800,0.00589180503481521,0.0134916351861846,0.038716814159292,0.094076661693234,0.0373894550801224,"2018-06","2018-Q2",188000,-0.00106382978723404,"2018-06"
2019-02-28,65576,"18708","PA","Scranton--Wilkes-Barre--Hazleton","Luzerne County","Shavertown",9058,170200,0.00235571260306243,0.00710059171597633,0.0454545454545455,0.0179681465978605,0.00946394948156848,"2019-02","2019-Q1",170200,0,"2019-02"
2019-02-28,89030,"71334","LA","Natchez","Concordia Parish","Ferriday",9059,40000,0.0025062656641604,0.0101010101010101,-0.0610328638497653,0.0157145026039509,0.0228852846168266,"2018-01","2018-Q1",43100,-0.0719257540603248,"2016-05"
2019-02-28,73318,"35096","AL","Talladega-Sylacauga","Talladega County","Lincoln",9060,153300,0,0.00921658986175115,0.0735294117647059,0.0302149964426599,0.00832727315447612,"2007-03","2007-Q1",161600,-0.0513613861386139,"2006-10"
2019-02-28,77071,"44216","OH","Akron","Summit County","New Franklin",9061,159800,0.00250941028858218,0.00756620428751576,0.0492449113591596,0.0515286966703881,0.0245376529279253,"2019-02","2019-Q1",159800,0,"2019-02"
2019-02-28,59077,"03253","NH","Laconia","Belknap County","Meredith",9062,361100,0.0131874298540965,0.0373455903476013,0.0494042429526301,0.0524149393777238,0.0232330498629365,"2019-02","2019-Q1",361100,0,"2019-02"
2019-02-28,76315,"42330","KY","Central City","Muhlenberg County","Central City",9063,76600,0.005249343832021,0.0145695364238411,0.0159151193633952,0.0365965501013295,0.0197385134171084,"2019-02","2019-Q1",76600,0,"2019-02"
2019-02-28,99726,"98337","WA","Bremerton-Silverdale","Kitsap County","Bremerton",9064,254300,0.00792707094728498,0.0274747474747475,0.128717265867732,0.142214642449506,0.0371944042413341,"2019-02","2019-Q1",254300,0,"2019-02"
2019-02-28,74081,"36874","AL","Auburn-Opelika","Lee County","Salem",9065,173800,0,0.00346420323325635,0.0965299684542587,0.0386235776101236,0.0147007559997014,"2019-02","2019-Q1",173800,0,"2019-02"
2019-02-28,91561,"76711","TX","Waco","McLennan County","Waco",9066,82300,0.00734394124847001,0.0457433290978399,0.0973333333333333,0.0751004475463988,0.0401852358557238,"2019-02","2019-Q1",82300,0,"2019-02"
2019-02-28,86360,"64123","MO","Kansas City","Jackson County","Kansas City",9067,65200,-0.0106221547799696,-0.00609756097560976,0.0671031096563011,0.0327398195531623,0.0017029588909574,"2007-05","2007-Q2",78100,-0.1651728553137,"2003-07"
2019-02-28,91047,"75704","TX","Tyler","Smith County","Tyler",9068,146700,0.00479452054794521,0.0117241379310345,0.108006042296073,0.0978132225167192,0.0434247901427283,"2019-02","2019-Q1",146700,0,"2019-02"
2019-02-28,65054,"17363","PA","York-Hanover","York County","Hopewell",9069,242200,0.0087463556851312,0.0193602693602694,0.0498482878196792,0.0525302183058798,0.000787879051426854,"2006-10","2006-Q4",272500,-0.111192660550459,"2005-08"
2019-02-28,76879,"43906","OH","Wheeling","Belmont County","Bellaire",9070,55900,-0.0035650623885918,-0.0158450704225352,0.0294659300184162,0.0197196064954692,0.00941418291299501,"2018-11","2018-Q4",56800,-0.0158450704225352,"2018-09"
2019-02-28,87983,"68410","NE",,"Otoe County","Nebraska City",9071,127800,-0.00234192037470726,0.00947867298578199,0.0570719602977668,0.0392931110799384,0.0183993761470242,"2019-01","2019-Q1",128100,-0.00234192037470726,"2019-01"
2019-02-28,86154,"63703","MO","Cape Girardeau","Cape Girardeau County","Cape Girardeau",9072,82300,0.00488400488400488,0,0.0619354838709677,0.0401371972932516,0.0180782038763703,"2003-06","2003-Q2",83900,-0.0190703218116806,"2003-04"
2019-02-28,78149,"46507","IN","Elkhart-Goshen","Elkhart County","Bristol",9073,196100,0.0144852560786342,0.0403183023872679,0.129608294930876,0.0674418624408066,0.0334632982707315,"2019-02","2019-Q1",196100,0,"2019-02"
2019-02-28,88557,"70359","LA","Houma-Thibodaux","Terrebonne Parish","Gray",9074,154600,0.0117801047120419,0.0286094477711244,0.0872011251758087,0.0321126754255425,0.0376809016534547,"2019-02","2019-Q1",154600,0,"2019-02"
2019-02-28,98537,"95988","CA",,"Glenn County","Willows",9075,201400,-0.00346363186541316,0.00149179512680259,0.0921908893709328,0.0765189272727753,0.0258069952651525,"2006-06","2006-Q2",220200,-0.0853769300635786,"2005-07"
2019-02-28,65334,"18058","PA","East Stroudsburg","Monroe County","Polk",9076,155800,0.00451321727917473,0.0176355323318093,0.129804205946338,0.0496105789098031,-0.00340147150747105,"2006-08","2006-Q3",179600,-0.132516703786192,"2005-07"
